trial_id,trajectory_name,axis,k_index,sample_idx,time_s,q_muse_w,q_muse_x,q_muse_y,q_muse_z,q_robot_w,q_robot_x,q_robot_y,q_robot_z,q_err_w,q_err_x,q_err_y,q_err_z,eul_err_roll_deg,eul_err_pitch_deg,eul_err_yaw_deg,eul_err_norm_deg,eul_err_azimuth_deg,eul_err_elevation_deg,error_angle_so3_deg
muse_y_k019_t4_90,t4_90,y,19,1,0,0.697666442775392,-0.00156815886083371,0.71641864820494,-0.00184282585297976,0.697666442775392,-0.00156815886083371,0.71641864820494,-0.00184282585297976,1,4.33680868994202e-19,-3.34366255928635e-17,0,0,0,0,0,0,0,3.83187732717212e-15
muse_y_k019_t4_90,t4_90,y,19,2,0.008,0.696688733825856,-0.00252660390124981,0.717363240440824,-0.00289925802448793,0.696935881574023,-0.00156626210700527,0.717129361993941,-0.00184444132871312,0.99999892466212,-8.63248958512344e-05,-0.000340116013845418,0.00142391843654354,-0.00994759251204869,-0.0389602998182283,0.163172480863494,0.168053914175955,-104.323109202114,76.15656462577,0.168050627011311
muse_y_k019_t4_90,t4_90,y,19,3,0.016,0.694528447563317,-0.00250251817515728,0.719455225489264,-0.00285507342531479,0.693369700484286,-0.00155711548570789,0.720577964889716,-0.00185212232083834,0.999997748532141,-7.10746398518108e-05,0.00161363038457058,0.0013762543464535,-0.0078900955502661,0.184919535156553,0.157694654205443,0.243156517608067,92.4431985404731,40.4309724200759,0.243164730293364
muse_y_k019_t4_90,t4_90,y,19,4,0.024,0.690209385918715,-0.00244218529335148,0.723599897972247,-0.00286827042959672,0.688533458802723,-0.00154479344447795,0.725200538874395,-0.00186229392395149,0.999996405958072,-0.000117220215431345,0.00231759524576429,0.00134278912597827,-0.0130759258497619,0.265594886032261,0.153842453116539,0.307211854758622,92.8185442210738,30.0509499768942,0.307226961459981
muse_y_k019_t4_90,t4_90,y,19,5,0.032,0.685347071751596,-0.00245385617346501,0.728207382806316,-0.00271614759677093,0.683132751459156,-0.00153072278443643,0.730290208761515,-0.00187396869329907,0.999994598590562,8.29498362259337e-06,0.00304038383485114,0.00124851392917866,0.00138554074086983,0.348401402104628,0.143074068627982,0.376637286822985,89.7721443776753,22.3257722297179,0.376635602839469
muse_y_k019_t4_90,t4_90,y,19,6,0.04,0.679820364482312,-0.00229483050179288,0.733369868053432,-0.00276449261085529,0.677615752082985,-0.00151675663776951,0.735412154890877,-0.00188531617218046,0.999994795199247,-0.000126516149642088,0.00300531790515269,0.00116689004141908,-0.0140960038323499,0.34440126281541,0.133674019118189,0.369702137592009,92.3437515617299,21.1967822874286,0.369717381621561
muse_y_k019_t4_90,t4_90,y,19,7,0.048,0.674819093429541,-0.00222150810654662,0.737975373346956,-0.00256989845831596,0.671946563872244,-0.00150194872492226,0.740595679236294,-0.00189719446677171,0.999991956137313,-2.39818374985397e-05,0.00388844329442274,0.000983409522513899,-0.00230997354853457,0.445586389177038,0.112682318172205,0.459619267466332,90.2970255660767,14.1915541215001,0.459621399946826
muse_y_k019_t4_90,t4_90,y,19,8,0.056,0.669177928557821,-0.00207525925657197,0.743094283893219,-0.00273468011047899,0.666385401712449,-0.00148783135424036,0.745603541754366,-0.00190821008956059,0.999992438647284,-0.000233708596244263,0.00375414200199385,0.000987140506016776,-0.0263569129266443,0.430220211344619,0.113019833827565,0.445598025070625,93.5057739373392,14.6927944712352,0.445623051399591
muse_y_k019_t4_90,t4_90,y,19,9,0.064,0.66384644633694,-0.00201422198457948,0.747861368164313,-0.00268562897943931,0.660965840167181,-0.00147417168519937,0.750412088916057,-0.00191879091484304,0.999992158118399,-0.000227630561908138,0.00384748677054853,0.000910346958276919,-0.0256837353391859,0.440914147702557,0.104220042598229,0.453791534941345,93.3337750359152,13.2773509675792,0.453814167796928
muse_y_k019_t4_90,t4_90,y,19,10,0.072,0.658535244977421,-0.0019713166750142,0.752542378507313,-0.00272278968172063,0.655594604898924,-0.00146018550235769,0.755109170065197,-0.00192955154705539,0.999991936867607,-0.000273133186973621,0.00390310696550381,0.000904076352273324,-0.0308950882900945,0.447292345701811,0.103479730471207,0.460144546444131,93.9512215226061,12.996131708225,0.460171600980542
