trial_id,trajectory_name,axis,k_index,sample_idx,time_s,q_muse_w,q_muse_x,q_muse_y,q_muse_z,q_robot_w,q_robot_x,q_robot_y,q_robot_z,q_err_w,q_err_x,q_err_y,q_err_z,eul_err_roll_deg,eul_err_pitch_deg,eul_err_yaw_deg,eul_err_norm_deg,eul_err_azimuth_deg,eul_err_elevation_deg,error_angle_so3_deg
muse_x_k019_t4_90,t4_90,x,19,1,0,0.688534619508488,0.72517823060993,-0.0060414960349322,0.000334534620341579,0.688534619508488,0.72517823060993,-0.0060414960349322,0.000334534620341579,1,1.11023149495463e-16,-5.42101086242752e-20,-6.23416249179165e-19,0,0,0,0,0,0,1.27225178733701e-14
muse_x_k019_t4_90,t4_90,x,19,2,0.008,0.688565286155164,0.72515030825374,-0.00590245079346887,0.000195489625708012,0.687830909734874,0.725845732360923,-0.00604122937851992,0.000340550035145717,0.999999468387283,0.00101220726906413,5.16191560821371e-06,0.00019655775246134,0.115990542856309,0.000568712828567186,0.0225244466332413,0.118158707518813,0.280924486739351,10.989479554576,0.118158597048482
muse_x_k019_t4_90,t4_90,x,19,3,0.016,0.686884243928401,0.726742228034992,-0.00597576985290268,0.000244148130404155,0.684237572349791,0.729234071535265,-0.00603956064901275,0.000370410761020211,0.999993382917004,0.00363579498060658,3.15192135739685e-05,0.000118842773510914,0.416632759949465,0.00356229829228027,0.0136314206311567,0.416870917983799,0.489879105979843,1.87387051713359,0.416870493417648
muse_x_k019_t4_90,t4_90,x,19,4,0.024,0.682641358676783,0.730728360707564,-0.00606051140563098,0.000329367658845424,0.679268961943065,0.733864472161858,-0.00603693217927222,0.00041144775000943,0.999989392226048,0.00460565053456957,5.4603023024506e-05,2.09055747074229e-05,0.527770673990062,0.00624594586750504,0.00242439476630807,0.527813199772123,0.678040006851217,0.263176586903383,0.527813067337613
muse_x_k019_t4_90,t4_90,x,19,5,0.032,0.677830089167859,0.735191629003775,-0.00628142587756994,0.000427259187307013,0.673844660128975,0.73884826562556,-0.00603378459990286,0.000455896008388521,0.999985341608861,0.00540891808185499,0.000162315751773756,-0.0001839189760782,0.619815971266178,0.0187137387261771,-0.0209746488989708,0.620453042663328,1.72937237962637,-1.93727452285149,0.620456458255787
muse_x_k019_t4_90,t4_90,x,19,6,0.04,0.672419845006055,0.74014112523171,-0.00650044302725063,0.000641110926259724,0.668232248090678,0.743928121159319,-0.00603005592127892,0.000501583123828325,0.999983940980941,0.00564525848542783,0.000183378240561271,-0.000463906542327977,0.646892622297059,0.0213133621760164,-0.0530403042842806,0.649413272168179,1.88705834181008,-4.68480484264688,0.649423072241364
muse_x_k019_t4_90,t4_90,x,19,7,0.048,0.666901785288197,0.745115295935901,-0.00667791234061361,0.000781043238908721,0.662500729012728,0.74903682842751,-0.0060260645335165,0.000547962679718219,0.999982386527233,0.00589352399862698,0.000228593821998698,-0.000663893847702272,0.675334527439702,0.0266428214739278,-0.0759209410836377,0.680110691860761,2.25922108222029,-6.40930210797186,0.680128164303271
muse_x_k019_t4_90,t4_90,x,19,8,0.056,0.661217161874936,0.750161959393591,-0.0069404120311046,0.000854518380428967,0.656865769554021,0.753983255293341,-0.00602163827125918,0.000592788318377763,0.999982775217334,0.00578992401365828,0.000377703218510086,-0.000885092556050259,0.663441702845574,0.0438680974679926,-0.101171873921885,0.672543716886094,3.78300514388822,-8.65194323915077,0.672581821008228
muse_x_k019_t4_90,t4_90,x,19,9,0.064,0.655703685095641,0.754983538297838,-0.0071843809360437,0.000958604109493614,0.651391803911073,0.758717407818051,-0.00601729107718481,0.000636458504810613,0.999983000011264,0.00570251567790939,0.00048749299317357,-0.00111505784525634,0.653401244294628,0.0565902875197821,-0.127455654734717,0.668117198260301,4.94996577834295,-10.99763103938,0.668178593472068
muse_x_k019_t4_90,t4_90,x,19,10,0.072,0.650150351492129,0.759769087935973,-0.00736700164833818,0.00108662703558358,0.645971278986549,0.763337734007483,-0.00601242953704641,0.000679158204174319,0.999983899610878,0.00549375669485103,0.000536428290536764,-0.00131582714982539,0.629460158833865,0.0622975400822838,-0.150442816573843,0.650180064380729,5.65214496507978,-13.3787079402859,0.65025903439965
muse_x_k019_t4_90,t4_90,x,19,11,0.08,0.645021787969113,0.764126319301253,-0.00750806166862794,0.00122074003302692,0.640698175523147,0.767768998923524,-0.00600772430745983,0.000720709321732743,0.999982768108839,0.00565147104783978,0.000548754946580753,-0.00149104942538095,0.64752014297008,0.0638472343060528,-0.170503711813808,0.672629408086512,5.63131548649777,-14.6840306224578,0.672720590993988
muse_x_k019_t4_90,t4_90,x,19,12,0.088,0.639805312544179,0.76849657628323,-0.00777086522086076,0.00133713683590623,0.635430467325439,0.772134383810751,-0.00600282712109812,0.000761970025878337,0.999982085155062,0.00568743671960248,0.000650325865706526,-0.00174914515236326,0.651604829485279,0.0756605160573827,-0.20001042144338,0.685797008002053,6.62318913247176,-16.9565661767791,0.685922108244429
muse_x_k019_t4_90,t4_90,x,19,13,0.096,0.634771020949247,0.772658262063773,-0.00792887265997285,0.00144706806428176,0.630267659110295,0.776354340647568,-0.00599768949691142,0.000802096009116556,0.999980956638944,0.00582340396025964,0.000686461060988334,-0.00192434326177192,0.667164582732738,0.079945310286007,-0.220051965986698,0.707052120302518,6.83308470819724,-18.13304203563,0.707196521587652
muse_x_k019_t4_90,t4_90,x,19,14,0.104,0.629516120270938,0.776943743805139,-0.00806943903278125,0.00166055255162932,0.625053737835711,0.780558269448438,-0.00599198297604812,0.000841993634902856,0.999981018242504,0.00573926668878683,0.000629806814799538,-0.00215111969355158,0.657518760482475,0.073583925250631,-0.246082233827792,0.705905078779985,6.38548865448363,-20.4020311872276,0.706051732834424
muse_x_k019_t4_90,t4_90,x,19,15,0.112,0.624532268113007,0.780953429813461,-0.00825846678912471,0.00172750528430071,0.61997330076275,0.784599574482228,-0.00598649167993124,0.000880897845327637,0.999980021415351,0.00583440935803285,0.000713811970231859,-0.00232527634250548,0.668386373605131,0.0833498411885785,-0.265975718358732,0.724175823404525,7.10826535089741,-21.5480012213629,0.724353741967547
muse_x_k019_t4_90,t4_90,x,19,16,0.12,0.619708473152995,0.784783875241315,-0.00848414573127254,0.00192268947535678,0.614837159363206,0.78863087232223,-0.00598066063865859,0.000919991731867549,0.999977099037524,0.00620325159136363,0.000715804386579349,-0.00260934748034958,0.710628940516813,0.0838781213915354,-0.298495195742305,0.775324714058218,6.73168298253739,-22.6433543864954,0.775524142694078
muse_x_k019_t4_90,t4_90,x,19,17,0.128,0.614870118039881,0.788578218562789,-0.00866162657907998,0.00202666597280315,0.609712167500321,0.792599810835926,-0.00597440998615592,0.000958691938027472,0.999974430320132,0.00653640006175885,0.000757281456171734,-0.00280012588224177,0.748776346210462,0.0888732192888995,-0.320297423192187,0.819240443981264,6.76884204140294,-23.0147921168996,0.819466485768672
muse_x_k019_t4_90,t4_90,x,19,18,0.136,0.609920503397952,0.79241114429353,-0.00878342144110067,0.00209986713759009,0.604691879178002,0.796436513833321,-0.00596808617891445,0.00099631147866338,0.999973656970552,0.00659459435284601,0.000788282946570689,-0.00292836136064903,0.755423291985096,0.0925411507655554,-0.334963305396201,0.831521876212864,6.98407177730272,-23.7553165535444,0.831766525126703
muse_x_k019_t4_90,t4_90,x,19,19,0.144,0.604718784906965,0.796384113031406,-0.00906399707124922,0.00231940701823213,0.599594511060548,0.800281081234845,-0.00596180440552667,0.00103451045501123,0.999973640448928,0.00643300910766834,0.000797197910988172,-0.00327097487464605,0.736871600531856,0.0937610451005924,-0.374231722904909,0.831757339418842,7.25146433809072,-26.7391268226301,0.832027315947284
muse_x_k019_t4_90,t4_90,x,19,20,0.152,0.599867713484862,0.800041800288962,-0.00927218548626402,0.00242294967909788,0.594564386815538,0.804025233953986,-0.00595517966685305,0.00107188200705042,0.999971589535507,0.00662792584862958,0.000850028995956366,-0.00348829062468768,0.759166367914759,0.100052803285024,-0.399075539049079,0.863484466267571,7.50791216937121,-27.5271419541168,0.863789302407474
muse_x_k019_t4_90,t4_90,x,19,21,0.16,0.595355635066591,0.803403321072513,-0.00939970115486694,0.00253320001424938,0.589424448177056,0.807800847203195,-0.00594808686261413,0.00110968988851134,0.999965771381855,0.00737859026680992,0.000844394058858596,-0.00364684370912579,0.845174284423649,0.0998406646598653,-0.417173565860452,0.947798245104661,6.73714315282634,-26.1134634463619,0.948120524088683
