trial_id,trajectory_name,axis,k_index,sample_idx,time_s,q_muse_w,q_muse_x,q_muse_y,q_muse_z,q_robot_w,q_robot_x,q_robot_y,q_robot_z,q_err_w,q_err_x,q_err_y,q_err_z,eul_err_roll_deg,eul_err_pitch_deg,eul_err_yaw_deg,eul_err_norm_deg,eul_err_azimuth_deg,eul_err_elevation_deg,error_angle_so3_deg
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,1,0,0.712669912426716,-0.0226566175078509,-0.70112710463404,-0.00300944385044999,0.712669912426716,-0.0226566175078509,-0.70112710463404,-0.0030094438504501,1,-1.77809156287623e-17,-7.24518101763438e-17,-1.43982048506075e-16,0,0,-2.8421709430404e-14,2.8421709430404e-14,0,-90,1.85823051685083e-14
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,2,0.008,0.712637430670109,-0.0225611444496547,-0.701162781839301,-0.0031049206753985,0.712665113690257,-0.0225663845079677,-0.701134496116984,-0.00310038285941389,0.999999999192759,-1.57783211530982e-08,3.94491196065547e-05,7.63206323654104e-06,-1.77356139374751e-06,0.00452053613275893,0.000874569955584548,0.00460435909549964,90.0224790985783,10.9495106915255,0.00460435910875196
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,3,0.016,0.71256839720331,-0.0232906780971663,-0.70121193740898,-0.00237538544763162,0.712649123022645,-0.0219541999379922,-0.701167169332575,-0.00372037770687899,0.999998198150557,1.0981289508018e-05,0.000123006657149024,-0.00189431898392889,0.00123165943497838,0.0140978830986285,-0.217072945614859,0.217533746831929,85.0070402105308,-86.2700087554416,0.217533897487927
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,4,0.024,0.71255808988837,-0.022154406961436,-0.701254613121494,-0.00348114387064866,0.712621632838622,-0.0205381558602839,-0.701228928683779,-0.00515578716345909,0.999997289302411,-2.13601918428717e-05,0.000105588572511624,-0.00232589394097749,-0.00247583339663038,0.0120938333458014,-0.26652831597886,0.266814043435744,101.569656060687,-87.3481555851207,0.266813781904418
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,5,0.032,0.712533101787639,-0.0207261790743315,-0.70131533649104,-0.00487884825795658,0.712585008390921,-0.0190364825094204,-0.701295680416648,-0.00667733323488816,0.999996953648325,-5.6360435744379e-05,9.59279954387038e-05,-0.00246582955436117,-0.00648551638400363,0.0109765797435273,-0.282564162261707,0.28285164489586,120.576733790062,-87.4165451599376,0.28285102370461
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,6,0.04,0.712503156808562,-0.0192432802613623,-0.701376406254274,-0.00633122835284611,0.712545914085416,-0.0174465590150263,-0.701359570156127,-0.00828801840775377,0.999996470326903,-9.15606195061244e-05,9.10152301957905e-05,-0.00265380229429042,-0.0105197153691847,0.0104016964769755,-0.304104656629931,0.3044642867153,135.323205372177,-87.214903693369,0.304463332102627
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,7,0.048,0.712468966578884,-0.0176376039085994,-0.70143743507803,-0.00790007984365504,0.712556920939519,-0.0157780089247148,-0.701365880260516,-0.00997952213061044,0.999996102485105,-0.000132708932327882,0.000164042396272695,-0.00278397073102688,-0.0152595979101875,0.0187554642618579,-0.319022463121343,0.319937423169073,129.132081702509,-85.6657922079076,0.31993493036473
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,8,0.056,0.712431834561229,-0.0158737137259098,-0.701498435013861,-0.00942613332035723,0.71258859890024,-0.0139950391479505,-0.701343493893845,-0.0117869066940705,0.99999542437455,-0.000316623314377359,0.000275537802607285,-0.00299584020941373,-0.0363767927100298,0.0314654673302073,-0.343308532583251,0.346661355254147,139.140607534093,-82.0248132421066,0.346651453058739
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,9,0.064,0.71238555277256,-0.01402660095843,-0.701559469060334,-0.011153028210724,0.712544149075224,-0.0120248379530526,-0.701388830216724,-0.0137821528827298,0.999994513188964,-0.000418138836666013,0.000292028786735104,-0.00327314391200698,-0.0480244646181518,0.0333070189339821,-0.375089341028541,0.379615226861824,145.257038185985,-81.1437464029329,0.379601418155293
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,10,0.072,0.712328969717574,-0.0119915574102171,-0.701620532133058,-0.01312517966744,0.712489905206024,-0.00997211340154688,-0.701432204524301,-0.0158604662604084,0.999994189342815,-0.000481166731348664,0.000306372766216242,-0.0033609366120944,-0.0552553392043933,0.0349222169543566,-0.385152593183079,0.390659997674769,147.706489183445,-80.3678512186457,0.390643374725862
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,11,0.08,0.712267695400993,-0.0098918458981871,-0.701675698926953,-0.0151028145806339,0.712432992698822,-0.00778992915639632,-0.701464232688657,-0.0180687071051447,0.999993356693189,-0.000585525956467742,0.000327688677809192,-0.00358278508624092,-0.0672304509991761,0.0373097179052309,-0.410579788935422,0.417717262839323,150.971798817121,-79.3930865438602,0.417695716356718
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,12,0.088,0.712180207487162,-0.00761401176468353,-0.701742607391306,-0.0172827040720193,0.712366517999308,-0.00541523895473703,-0.701488133809349,-0.0204699131723165,0.999992453813935,-0.00067365736951879,0.000374241260357738,-0.00380768228877387,-0.0773582026011752,0.042590634040323,-0.436358185654569,0.445204132736196,151.164406538851,-78.5593173944065,0.445175908499369
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,13,0.096,0.712113280041648,-0.00522649036554881,-0.701773116683678,-0.019541056441801,0.712282357996441,-0.00282680312137298,-0.70150760927963,-0.0230851855942584,0.999990790784072,-0.000782630017591816,0.000373141492419947,-0.00420316579831209,-0.0898617519734444,0.0423815237911356,-0.481682156151919,0.491822150356973,154.750015593172,-78.3452908688007,0.491789539772774
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,14,0.104,0.711994029473331,-0.00252995463923957,-0.701834108679686,-0.0220677415619257,0.712183401164235,-4.72148286288667e-05,-0.70151582176669,-0.0258911700760621,0.999989540114617,-0.0009222613929794,0.000423987454820304,-0.00445974549926056,-0.105899041493188,0.0481135599750075,-0.511095610831944,0.524164330200294,155.56607576082,-77.1788522666344,0.52412088695448
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,15,0.112,0.711867605450503,0.000272871384049388,-0.701876788471007,-0.0247671487458518,0.712061841509792,0.0028859612778755,-0.701517896342901,-0.0288486776788434,0.999988173175785,-0.00101349811017762,0.000455418514986977,-0.00473486262878992,-0.116384181101097,0.051636608392414,-0.542630097096833,0.557367956750442,156.074394436232,-76.7947849953162,0.557316787216304
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,16,0.12,0.711737712442596,0.00327264298358726,-0.701895201874594,-0.0276015231519188,0.711928603212059,0.00594364203699016,-0.701500508212886,-0.0319276373213736,0.999986979138939,-0.00114694688567553,0.000474469494095809,-0.00494984283797815,-0.131698018205441,0.053718938980893,-0.567274699134146,0.584833888110298,157.809707186541,-75.9244220518308,0.584773858089921
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,17,0.128,0.711567577738626,0.00635070216912531,-0.701925706574177,-0.0305213588079681,0.711784163022477,0.00903671751764958,-0.701465662256843,-0.0350366619623906,0.999986069404506,-0.00127354256805533,0.000532684891617344,-0.00509463767701307,-0.14624641791184,0.0602968556876817,-0.583882509203704,0.604931822697301,157.593827684138,-74.8409910375404,0.604857361864147
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,18,0.136,0.711372924235609,0.00943390802231863,-0.701956245191207,-0.0334214583907824,0.711629621772108,0.0121938730194471,-0.701409295415905,-0.0382045963391394,0.99998456956845,-0.00141489070377104,0.000616394071786534,-0.00533655016342644,-0.16250930768237,0.0697672459339742,-0.611626175234051,0.636681491736683,156.765556804474,-73.8727215454573,0.636586201223824
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,19,0.144,0.711177015324201,0.0126071223799205,-0.701956213026382,-0.0364113764299052,0.711449354627353,0.0154468962582714,-0.70134308897484,-0.041461798604721,0.999982989415189,-0.00155135141857954,0.000666938784130566,-0.0055829545669791,-0.178195875755648,0.0754317850376935,-0.639881003974068,0.668499381882404,157.056658466364,-73.1743721458882,0.66838679912495
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,20,0.152,0.710945039833771,0.0158982373875337,-0.701956266673678,-0.0395195655502385,0.711240241383218,0.0188887194622865,-0.701259079105319,-0.0449025532300345,0.99998075362307,-0.00168479927162154,0.000735483157517498,-0.0059256138396668,-0.193560043019403,0.0831345473622775,-0.679170874514227,0.711090655266418,156.756349875805,-72.7677018515094,0.710956150960664
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,21,0.16,0.71069634137278,0.0193963298678846,-0.701925704706591,-0.0428345400250438,0.710986451291119,0.0226279899453303,-0.701156693892095,-0.0486367223587627,0.999977607755956,-0.00181453922201796,0.000776054411647369,-0.00639446429630626,-0.208495581279806,0.0875977211414636,-0.732917434928851,0.767014820316445,157.210685464384,-72.851804153874,0.766862049025226
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,22,0.168,0.710416813979464,0.0232070901124319,-0.701864714760788,-0.0464252469841397,0.710704785458001,0.0266135391748404,-0.701014841284187,-0.0526176753476761,0.999974622361624,-0.00197238684325918,0.000820318423188527,-0.00679642557169431,-0.226652908471266,0.092463101088299,-0.779003659806193,0.816558429001129,157.806986271546,-72.5556315971466,0.816383364738589
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,23,0.176,0.7101020375386,0.0270264569489479,-0.701803679578019,-0.0499626084093771,0.710420036821825,0.0305761193462063,-0.700833363085328,-0.0565779939049735,0.999971296966985,-0.00217915331866462,0.000910756746630507,-0.00719910099443635,-0.250457941989765,0.102564388618049,-0.825189804575786,0.868439317450659,157.730535683141,-71.8416007367372,0.868225545876368
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,24,0.184,0.709766701157166,0.0309198468884964,-0.701711860769078,-0.0536251569029386,0.710107806115718,0.0343979384599351,-0.700653782193869,-0.060398369354275,0.999970395294623,-0.0023514964743315,0.000967432849376745,-0.00726244258695995,-0.270260271807956,0.108899472321582,-0.832481460787562,0.882000619129388,158.053377107962,-70.709522370445,0.881757310537713
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,25,0.192,0.709378902380714,0.0350041855210743,-0.701608124785974,-0.0574658079857009,0.709713756606593,0.038724935477239,-0.700440525494001,-0.0647289216759268,0.999965963891914,-0.00253525639253146,0.00102278327312607,-0.00778443621056388,-0.291423291376191,0.11493689130171,-0.892335326599579,0.945727423117364,158.475801208546,-70.6554859522084,0.94545051945706
