trial_id,trajectory_name,axis,k_index,sample_idx,time_s,q_muse_w,q_muse_x,q_muse_y,q_muse_z,q_robot_w,q_robot_x,q_robot_y,q_robot_z,q_err_w,q_err_x,q_err_y,q_err_z,eul_err_roll_deg,eul_err_pitch_deg,eul_err_yaw_deg,eul_err_norm_deg,eul_err_azimuth_deg,eul_err_elevation_deg,error_angle_so3_deg
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,1,0,0.689063842122516,0.724690966162469,-0.00159008239023259,0.00339067542771003,0.689063842122516,0.724690966162469,-0.00159008239023259,0.00339067542771003,1,-5.55103041983106e-17,4.33680868994202e-19,8.67361737988404e-19,0,0,0,0,0,0,6.36198286912647e-15
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,2,0.008,0.690512323964113,0.723311484961504,-0.00149540695328118,0.00331510701300067,0.688250661479116,0.725463302338404,-0.00158614403057649,0.00339235625056916,0.999995120182059,0.00312155758410062,-1.72954200579859e-05,0.000123252531174872,0.357704484246398,-0.00202598741944371,0.0141174442883027,0.357988693827387,-0.324511691512444,2.26007074804673,0.357988942303828
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,3,0.016,0.68860789642179,0.725124475905983,-0.00154587715282925,0.00335703611232652,0.685047291145438,0.728488972745004,-0.00157134061431639,0.00339946641392928,0.999987999901184,0.00489868123603315,-3.56608617339956e-06,5.443400159707e-05,0.561349742086264,-0.000439194862281056,0.0062356004531523,0.561384546051505,-0.044827680448235,0.636428163543307,0.561384569670792
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,4,0.024,0.684895377048452,0.728631683386911,-0.00164800000966962,0.00338770695069875,0.681023743425526,0.732251756880634,-0.00155268367880609,0.00340802131770041,0.999985948011557,0.00530072290643022,6.14392054062579e-05,-4.83872035819716e-05,0.607420608435802,0.00706970668230156,-0.00550736794528461,0.607486713769757,0.666829640965247,-0.51944059836845,0.607487052889682
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,5,0.032,0.68099916915879,0.732274001152629,-0.00173955515025718,0.00344859229787831,0.67670692487544,0.736242971588792,-0.00153238731102453,0.00341707489810066,0.999982890000415,0.00584662407589598,9.68477974268231e-05,-0.00016526898799493,0.669975751165907,0.0112084761677238,-0.0188732221751593,0.670335241206664,0.958450324311791,-1.61337018527274,0.670337082153494
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,6,0.04,0.676752488501706,0.736199768479491,-0.00191120408677323,0.00350962910158367,0.672393151313443,0.740184723772878,-0.00151247828966581,0.00342595526372373,0.999982475163508,0.00590741090197152,0.000185920717245976,-0.000342484723694272,0.676936061666794,0.0215364133978824,-0.0391193193929382,0.678407377492875,1.82222457491023,-3.30570680233761,0.678414696509384
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,7,0.048,0.672339010136517,0.740231865065083,-0.00206691474073932,0.00357340934841981,0.668224036909584,0.743950677922735,-0.00149332261934403,0.00343442893589098,0.999984444551397,0.005548099680848,0.00026097648969623,-0.000511015104110986,0.635753354349333,0.030230124747419,-0.0583912049844173,0.639144522645861,2.72236853741863,-5.24175822248169,0.639159810013015
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,8,0.056,0.668417120118669,0.743774219051612,-0.00219733332180384,0.00369274054080921,0.664202109821444,0.747543664905608,-0.00147484448678109,0.00344255747578776,0.999983720192233,0.00565669636251071,0.000273662824518254,-0.000697313002441887,0.648191161367322,0.0318109458383731,-0.0797275303540914,0.653850286415944,2.8096214309025,-7.00381621670231,0.653872166860918
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,9,0.064,0.664527596623113,0.747250750707057,-0.00235026224475763,0.00372359522907596,0.660397925741607,0.75090648881156,-0.00145721304893313,0.00344982130075426,0.999984354454146,0.00551792043604537,0.000365559763784292,-0.000842476733055589,0.632274927178571,0.0424221157567501,-0.0963081375653871,0.640973070265249,3.83847381680328,-8.64158953836175,0.641008151019431
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,10,0.072,0.660858592477525,0.750497429430614,-0.00238044417629548,0.00372325827574417,0.65694936109233,0.75392540241683,-0.00144124719403528,0.00345649497704406,0.999986006828777,0.00520213536615605,0.000398402289940112,-0.000874762759243686,0.596083470620812,0.0461743699616477,-0.100001613031594,0.60617480894345,4.42945322676173,-9.4955832141797,0.606214341514374
